,Title,Link,Upload Date,View Count,Absolute Upload Date
13,한국 분식을 처음 먹어본 영국 축구선수들의 반응!?,https://www.youtube.com/watch?v=1FP57skH7Q4&pp=ygUKa29yZWEgZm9vZA%3D%3D,8시간 전,조회수 3만회,2024-06-30 16:00:00
14,25가지 집밥 모음ㅣ3년간 만든 집밥 중 맛있는 요리만 모은 영상,https://www.youtube.com/watch?v=SeaiInbr92k&pp=ygUKa29yZWEgZm9vZA%3D%3D,9시간 전,조회수 169만회,2024-06-30 15:00:00
15,"예약안하면 줄서도 못먹는 터미널상가 2층 중국집! 고구마튀김을 2단으로 쌓아주는 역대급 산더미 짜장면, 해물폭탄 짬뽕 / 강화 금문도",https://www.youtube.com/watch?v=-wiRYfPpInU&pp=ygUKa29yZWEgZm9vZA%3D%3D,스트리밍 시간: 2시간 전,조회수 2.8만회,2024-06-30 22:00:00
16,멕시코 사람들은 뭐든지 또띠아에 싸 먹습니다🌮 백종원이 알려주는 멕시코 사람들의 음식 먹는 팁! | 스트리트푸드파이터2,https://www.youtube.com/watch?v=v_V49WtPV3U&pp=ygUKa29yZWEgZm9vZA%3D%3D,9시간 전,조회수 327만회,2024-06-30 15:00:00
17,(1시간) 백종원이 추천하는 베트남 현지 음식🤤 이 영상 하나로 베트남 준비 끝! | #스트리트푸드파이터2 #디제이픽,https://www.youtube.com/watch?v=XQY5ZUxGuqY&pp=ygUKa29yZWEgZm9vZA%3D%3D,50분 전,조회수 731만회,2024-06-28 22:00:00
18,필리핀 음식 TOP 10,https://www.youtube.com/watch?v=3uPtJZpLLtw&pp=ygUKa29yZWEgZm9vZA%3D%3D,7시간 전,조회수 1526만회,2024-06-30 17:00:00
19,Why Korean Stadium Food DESTROYS American Stadium Food!! You’re Being Robbed!!,https://www.youtube.com/watch?v=h2rEeZt4mEg&pp=ygUKa29yZWEgZm9vZA%3D%3D,8개월 전,조회수 882만회,2023-11-04 00:00:00
20,Wedding food in Korea🇰🇷 #korea #mukbang #korean #foodie #yummy #seoul #wedding #food #koreafoodie,https://www.youtube.com/shorts/wcDRLjmoyFk,15시간 전,조회수 3274만회,2024-06-30 09:00:00
21,Eating GIANT Foods From a Korean Convenience Store!,https://www.youtube.com/shorts/PyHOxN3hLU0,19시간 전,조회수 2132만회,2024-06-30 05:00:00
22,Making a Lunchbox at a Korean Traditional Market 🇰🇷🍱 #korea #southkorea #seoul #koreanfood,https://www.youtube.com/shorts/50Qi-EGOFd0,20시간 전,조회수 388만회,2024-06-30 04:00:00
